 👇SmartTV1👇,#genre#
KBS World,http://50.7.234.10:8278/KBS/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=2824c178015296394b72fa86b5ba8a29
TvN,http://50.7.234.10:8278/TVN/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=056a4021a432d04bec2f262e1d430f7d
Astro Premier,http://50.7.234.10:8278/Astropremier/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=4f290781954c5bf81bc8751fb02c5d77
AEC,http://50.7.234.10:8278/AEC/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=ba32bccb4c01a41073cbcfbe837805be
華麗台 HD,http://50.7.234.10:8278/Wlt/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=4543d1f8ec962a0819af06238735f0dc
歡喜台 HD,http://50.7.234.10:8278/Huahee/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=03a45076ad328d122e25e22b41f3c19b
歡喜台,http://50.7.234.10:8278/Huahee_backup/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d8547368995bb622be6717c0a4e4d2c7
Astro QJ,http://50.7.234.10:8278/Quanjia/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=2ed6164786b1e01c8548745e8cdeb351
TVB Jade,http://50.7.234.10:8278/Tvbjade/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=daebd658e5b9b29cbe56ab0e6fe81ae7
TVBS Asia,http://50.7.234.10:8278/Tvbasia/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=8f9757afe3ce27008c69e1e55f138887
TVB Entertainment,http://50.7.234.10:8278/Tvbentertainment/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=f730c95b6c5085de2443b8a85e0ffc53
TVB Classic,http://50.7.234.10:8278/Tvbclassic/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d65fb48fcd150facb9a4533b9229516a
AOD,http://50.7.234.10:8278/AodHD/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=3f4849499e9f0a01f3c6d1907e5f976b
One,http://50.7.234.10:8278/One_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=a30a9169cdd283b41b4781277898b890
TVB 星河台,http://50.7.234.10:8278/Xinhe/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=2924352d2c5512857400ab6f5863079a
愛奇藝,http://50.7.234.10:8278/Qiyi/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d081b7d78b318a2c8875fa07463211e1
Animal Planet (Eng),http://50.7.234.10:8278/AnimalPlanet/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=c5323c0571ef472d6b94ba38ac083d8a
tvN Movie,http://50.7.234.10:8278/Tvnmovie/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=92c6ea0d65c04bfdadcbafc5260d1fe9
CNN,http://50.7.234.10:8278/cnn_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=bd89e41cfc9c4466a5756978a8c726e5
Celestial Classic,http://50.7.234.10:8278/Celestial2/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=c84a2f6ad8468dee90a7684b99c4dbf3
CNBC,http://50.7.234.10:8278/cnbc_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=987d427cd0f33632913219a84c0a6789
RTM Sports HD,http://50.7.234.10:8278/Rtmsport/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=8191e23ed53b9c316ba8400fea1ec19e
TLC,http://50.7.234.10:8278/Tlc/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=c2741bfe4f3058bd02736b0a948eedbb
CNA,http://50.7.234.10:8278/cna/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d8c80c4e3f13ae16c3136866a7acdd4d
AFC 亞洲旅遊台,http://50.7.234.10:8278/asiatravel_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=324cce82b353e4911692ea3326e9a626
BBC World News,http://50.7.234.10:8278/bbcnews_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=3ab74ea8f6b3ceac3990eb7170546b41
Foodnetwork Hd,http://50.7.234.10:8278/Foodnetwork_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=7b0086d6e388f9505b1f0a96f9b5218d
HGTV,http://50.7.234.10:8278/HGTV/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=2005f2c91a73d99a93d54b73b61d2638
Arena,http://50.7.234.10:8278/Arena/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=e4d6f344f0796c267600152324ce14cd
Goshop,http://50.7.234.10:8278/Goshop/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=9e911073d5c67c1b0e956adb63e12991
Celestial Movies HD,http://50.7.234.10:8278/Celestial_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=f2cdb8497689029972727ecb1121cd4a
Arena 2,http://50.7.234.10:8278/Arena2/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=99efac263e54ebcf55c71a22b3c092f9
Axn HD,http://50.7.234.10:8278/Axn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=18a5fbdf0a8cf0dd65bc1ae8e4aae028
Paramount Network,http://50.7.234.10:8278/Paramountnetwork/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=c6022913491fbb2f27f19fda53725d3a
BolaArena 1,http://50.7.234.10:8278/Bolaarena1/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=2ab76222c0b09f3d5560c4204a44dc8d
Astrol Kplus,http://50.7.234.10:8278/Kplus/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=ed9cfad2af3afeca5ceb3c03b24fa9fd
Rock Actions,http://50.7.234.10:8278/Rockaction/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=11ebb3a4d6e46ecca65d1465c265b05a
Bloomberg News,http://50.7.234.10:8278/bloomberg_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d3695be2fd4965380c4130949335694a
Al-Jazeera,http://50.7.234.10:8278/aljazeera_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=e994dd1301be28c6bb4eec267126951e
Rock Entertainment,http://50.7.234.10:8278/Rockentertain/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=a2156efe2a3c88720a0d629f0b7466d7
Showcase,http://50.7.234.10:8278/Showcase_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=e968851a07a91de36dc5e6fe88b94bda
BolaArena 2,http://50.7.234.10:8278/Bolaarena2/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=5d035f37a9e38122b390dcd792e3e0a6
新加坡 Singapore,#genre#
Channel 5,http://50.7.234.10:8278/Channel5HD/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=5d81a928e7a6c3433a1af74836b0293f
Channel 5,http://50.7.234.10:8278/Ch5_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=1eec189736344e5930df9baca645c800
Channel 8,http://50.7.234.10:8278/Channel8HD/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=bd6fa0738d084fc0f0e8cf3ca75b7b63
Channel 8,http://50.7.234.10:8278/Ch8_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=5e74c10698b74944b267ce6a2fa962f5
Suria,http://50.7.234.10:8278/Suria/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=135c7e83715d08f9bc6487daf7253077
Suria,http://50.7.234.10:8278/Suria_backup/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=8f4f61d46bb3e7f20f02e7386b2bd2e5
Channel U,http://50.7.234.10:8278/ChannelU/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=213c6babdc1f141146c10bec8dab30b3
Channel U,http://50.7.234.10:8278/ChU_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=49ba4e505217575cc1b64d1c54e38396
Vasantham,http://50.7.234.10:8278/Vasantham/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=f035cd1b7d46d851bf04de69a23c4324
Vasantham,http://50.7.234.10:8278/Vasantham_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=05bfc57970c1143169a32833569be8e3
CNA,http://50.7.234.10:8278/cna/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d8c80c4e3f13ae16c3136866a7acdd4d
CNA,http://50.7.234.10:8278/cna_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=b55fc9439b3e3cf6ed50c5722560adfa
